"Papers","Author","Areas","ORCID","Name_Variants"
"1","Emilio J. Castilla","organizations","0000-0001-8724-7054","Emilio J. Castilla"
"1","Hye Jin Rho","organizations","0000-0001-8651-566X","Hye Jin Rho"
"1","Alex Rees-Jones","behavioral economics and decision analysis","0000-0001-5293-2158","Alex Rees-Jones"
"1","Andrew Meyer","behavioral economics and decision analysis","0000-0002-1461-595X","Andrew Meyer"
"1","Sean Hundtofte","behavioral economics and decision analysis","","Sean Hundtofte"
"1","Ilya Morozov","marketing","0000-0003-1185-4215","Ilya Morozov"
"1","Sungsik Park","marketing","0000-0002-4042-3134","Sungsik Park"
"1","Qian Xin","accounting","0000-0001-7958-3285","Qian Xin"
"1","Mark Bradshaw","accounting","0000-0002-6744-8147","Mark Bradshaw"
"1","Moussa Diop","finance","0000-0002-3199-1818","Moussa Diop"
"1","Lina Song","healthcare management","","Lina Song"
"1","Joseph Newhouse","healthcare management","","Joseph Newhouse"
"1","Mary Beth Landrum","healthcare management","","Mary Beth Landrum"
"1","Eric D. Shah","healthcare management.conflict of interest statement: e","0000-0003-3611-8628","Eric D. Shah"
"1","Jason Xianghua Wu","behavioral economics and decision analysis","0000-0002-3759-758X","Jason Xianghua Wu"
"1","Yan (Diana) Wu","behavioral economics and decision analysis","","Yan (Diana) Wu"
"1","Lei Hua","behavioral economics and decision analysis","0000-0003-1398-067X","Lei Hua"
"1","Sam Arts","business strategy","0000-0003-3214-7325","Sam Arts"
"1","Jianan Hou","business strategy","0000-0003-3911-4948","Jianan Hou"
"1","Luofeng Zhou","information systems","0009-0007-0551-0914","Luofeng Zhou"
"1","Murat Unal","marketing","0000-0002-6638-5500","Murat Unal"
"1","Nora Pankratz","special section of management science on business and climate change","0000-0002-1292-3051","Nora Pankratz"
"1","Rob Bauer","special section of management science on business and climate change","0000-0003-1468-1313","Rob Bauer"
"1","Jeroen Derwall","special section of management science on business and climate change","0000-0002-2509-2146","Jeroen Derwall"
"1","Mitch Downey","special section of management science on business and climate change","","Mitch Downey"
"1","Nelson Lind","special section of management science on business and climate change","","Nelson Lind"
"1","Brigitte Roth Tran","special section of management science on business and climate change","0000-0003-3123-315X","Brigitte Roth Tran"
"1","Patrycja Klusak","special section of management science on business and climate change","0000-0001-5851-2461","Patrycja Klusak"
"1","Matthew Agarwala","special section of management science on business and climate change","0000-0002-0042-2559","Matthew Agarwala"
"1","Matt Burke","special section of management science on business and climate change","0000-0003-0184-6617","Matt Burke"
"1","Moritz Kraemer","special section of management science on business and climate change","","Moritz Kraemer"
"1","Kamiar Mohaddes","special section of management science on business and climate change","0000-0002-2501-2062","Kamiar Mohaddes"
"1","Edith Ginglinger","special section of management science on business and climate change","0000-0002-8929-2892","Edith Ginglinger"
"1","Quentin Moreau","special section of management science on business and climate change","0000-0002-6867-068X","Quentin Moreau"
"1","Viet Anh Dang","special section of management science on business and climate change","0000-0002-3719-3171","Viet Anh Dang"
"1","Tiancheng Yu","special section of management science on business and climate change","0000-0002-6581-2136","Tiancheng Yu"
"1","Michael Barnett","special section of management science on business and climate change","0000-0002-4707-597X","Michael Barnett"
"1","Yifan Zhao","special section of management science on business and climate change","0000-0003-1164-8489","Yifan Zhao"
"1","Arnab Basu","special section of management science on business and climate change","0000-0002-4309-302X","Arnab Basu"
"1","Thomas S. Lontzek","special section of management science on business and climate change","0000-0002-4789-5820","Thomas S. Lontzek"
"1","David Ardia","special section of management science on business and climate change","0000-0003-2823-782X","David Ardia"
"1","Keven Bluteau","special section of management science on business and climate change","0000-0003-2990-4807","Keven Bluteau"
"1","Kris Boudt","special section of management science on business and climate change","0000-0002-1000-5142","Kris Boudt"
"1","Koen Inghelbrecht","special section of management science on business and climate change","0000-0002-6192-8625","Koen Inghelbrecht"
"1","Christian Kaps","special section of management science on business and climate change","0000-0003-4642-010X","Christian Kaps"
"1","Tiziano De Angelis","special section of management science on business and climate change","0000-0002-0164-7936","Tiziano De Angelis"
"1","Peter Tankov","special section of management science on business and climate change","0000-0003-4882-9806","Peter Tankov"
"1","Olivier David Zerbib","special section of management science on business and climate change","0000-0003-3630-528X","Olivier David Zerbib"
"1","Rieneke Slager","special section of management science on business and climate change","0000-0003-4824-9377","Rieneke Slager"
"1","Kevin Chuah","special section of management science on business and climate change","0000-0002-4888-9094","Kevin Chuah"
"1","Jean-Pascal Gond","special section of management science on business and climate change","0000-0002-9331-6957","Jean-Pascal Gond"
"1","Santi Furnari","special section of management science on business and climate change","0000-0003-3212-6604","Santi Furnari"
"1","Mikael Homanen","special section of management science on business and climate change","0000-0003-4549-5302","Mikael Homanen"
"1","O. Cem Ozturk","special section of management science on business and climate change","0000-0003-4214-7468","O. Cem Ozturk"
"1","Jesse Burkhardt","special section of management science on business and climate change","0000-0002-7631-0393","Jesse Burkhardt"
"1","Todd D. Gerarden","special section of management science on business and climate change","0000-0002-0336-805X","Todd D. Gerarden"
"1","Wanyi Dai Li","special section of management science on business and climate change","0000-0002-4086-5047","Wanyi Dai Li"
"1","Amanda Heitz","special issue of management science: business and climate change","0000-0001-8942-8705","Amanda Heitz"
"1","Youan Wang","special issue of management science: business and climate change","","Youan Wang"
"1","Leandro S. Pongeluppe","special section of management science on business and climate change","0000-0001-6195-4455","Leandro S. Pongeluppe"
"1","Mario Bellia","finance","0000-0003-1165-9970","Mario Bellia"
"1","Arturo Estrada Rodriguez","operations management","0000-0002-8235-7729","Arturo Estrada Rodriguez"
"1","Dongyuan Zhan","operations management","0000-0001-8242-1332","Dongyuan Zhan"
"1","Mike Li","finance","0000-0002-4895-5047","Mike Li"
"1","Atif Ellahie","accounting","0000-0002-5241-8578","Atif Ellahie"
"1","Shenje Hshieh","accounting","0000-0001-7568-6906","Shenje Hshieh"
"1","Sean Wang","finance","0000-0001-6161-9083","Sean Wang"
"1","Jingkai Huang","data science","0000-0002-7908-5814","Jingkai Huang"
"1","Rachel Gershon","behavioral economics and decision analysis","0000-0002-3632-8732","Rachel Gershon"
"1","Cynthia Cryder","behavioral economics and decision analysis","","Cynthia Cryder"
"1","Evan Munro","data science","0000-0001-9453-4799","Evan Munro"
"1","Alain P. Chaboud","finance","0000-0001-5920-9755","Alain P. Chaboud"
"1","Avery Dao","finance","","Avery Dao"
"1","Filip Zikes","finance","0000-0001-7073-4067","Filip Zikes"
"1","Aneel Iqbal","accounting","0009-0009-7574-1405","Aneel Iqbal"
"1","Paul Söderlind","finance","","Paul Söderlind"
"1","Stephen Michael Impink","business strategy","0000-0002-5910-642X","Stephen Michael Impink"
"1","Andrea Prat","business strategy","","Andrea Prat"
"1","Jisu Cao","information systems","0000-0001-7691-0105","Jisu Cao"
"1","Jonathan Hall","behavioral economics and decision analysis","0000-0002-0069-1396","Jonathan Hall"
"1","Rudolf Kerschbamer","behavioral economics and decision analysis","0000-0002-7666-7157","Rudolf Kerschbamer"
"1","Daniel Neururer","behavioral economics and decision analysis","0000-0003-0972-6556","Daniel Neururer"
"1","Eric Skoog","behavioral economics and decision analysis","0000-0002-7566-6283","Eric Skoog"
"1","Markus Dertwinkel-Kalt","behavioral economics and decision analysis","0000-0002-2565-6597","Markus Dertwinkel-Kalt"
"1","Mats Köster","behavioral economics and decision analysis","0000-0002-9718-2458","Mats Köster"
"1","Gregory Weitzner","finance","0000-0002-1022-3932","Gregory Weitzner"
"1","Ben Charoenwong","finance","0000-0003-4322-4955","Ben Charoenwong"
"1","Meng Miao","finance","0000-0001-6881-0577","Meng Miao"
"1","Leonardo Ortega","business strategy","0000-0001-6052-4015","Leonardo Ortega"
"1","Elie Sung","business strategy","0000-0002-5918-3273","Elie Sung"
"1","Onur Kesten","behavioral economics and decision analysis","0000-0002-9684-4093","Onur Kesten"
"1","Selçuk Özyurt","behavioral economics and decision analysis","0000-0002-3326-5238","Selçuk Özyurt"
"1","Melina Vosse","finance","","Melina Vosse"
"1","Buqu Gao","marketing","0000-0001-6604-4725","Buqu Gao"
"1","Jun Pan","finance","0000-0003-0161-9465","Jun Pan"
"1","Philippe Blaettchen","optimization","0000-0002-4253-6079","Philippe Blaettchen"
"1","Georgina Hall","optimization","0000-0003-4580-3897","Georgina Hall"
"1","Irina Iakovetskaia","marketing","0009-0008-2447-8398","Irina Iakovetskaia"
"1","Christian C. Opp","finance","","Christian C. Opp"
"1","Marcus M. Opp","finance","0000-0002-5564-2065","Marcus M. Opp"
"1","Adi Shany","business strategy","0000-0001-7166-5219","Adi Shany"
"1","Yimeng Niu","operations management","0000-0002-0347-2631","Yimeng Niu"
"1","Shenyang Jiang","operations management","0000-0002-0582-2762","Shenyang Jiang"
"1","Jean Paul Rabanal","finance","0000-0001-9542-2967","Jean Paul Rabanal"
"1","Olga A. Rud","finance","0000-0001-7831-0410","Olga A. Rud"
"1","Billur Aksoy","behavioral economics and decision analysis","0000-0003-0658-0440","Billur Aksoy"
"1","Christopher S. Carpenter","behavioral economics and decision analysis","0000-0002-6270-5589","Christopher S. Carpenter"
"1","Dario Sansone","behavioral economics and decision analysis","0000-0002-5469-6715","Dario Sansone"
"1","Xinyi Zhang","accounting","0000-0002-3793-1226","Xinyi Zhang"
"1","Xiaolong Li","operations management","0009-0006-7570-3554","Xiaolong Li"
"1","Huan Zheng","operations management","0000-0003-4803-3787","Huan Zheng"
"1","Greg Taylor","business strategy","0000-0002-4563-4862","Greg Taylor"
"1","J. R. Keller","organizations","0000-0002-1758-3623","J. R. Keller"
"1","Simone Haeckl","behavioral economics and decision analysis","0000-0002-9919-2772","Simone Haeckl"
"1","Mari Rege","behavioral economics and decision analysis","0000-0002-9574-5851","Mari Rege"
"1","Yea Hee Ko","accounting","0000-0002-5161-2678","Yea Hee Ko"
"1","In Gyun Baek","accounting","0000-0001-5976-2016","In Gyun Baek"
"1","Elina H. Hwang","operations management","0000-0002-8717-7508","Elina H. Hwang"
"1","Ulf Mohrmann","accounting","0000-0002-0388-7431","Ulf Mohrmann"
"1","Jan Riepe","accounting","0000-0002-1413-4953","Jan Riepe"
"1","Jannic Cutura","finance","","Jannic Cutura"
"1","Gianpaolo Parise","finance","0000-0001-8296-0619","Gianpaolo Parise"
"1","Chengguang Li","","0000-0001-8499-2382","Chengguang Li"
"1","David Holtz","information systems","0000-0002-0896-8628","David Holtz"
"1","Felipe Lobel","information systems","0000-0002-4603-4594","Felipe Lobel"
"1","Brian Hill","behavioral economics and decision analysis","0000-0002-9757-120X","Brian Hill"
"1","Thomas Lloyd","behavioral economics and decision analysis","0009-0008-9821-9962","Thomas Lloyd"
"1","Hanzhong Shi","accounting","0000-0003-3865-8214","Hanzhong Shi"
"1","Angie Wang","accounting","0000-0001-7514-9887","Angie Wang"
"1","F. Jane Barton","accounting","0000-0001-7072-1645","F. Jane Barton"
"1","Brian M. Burnett","accounting","0000-0002-3960-5838","Brian M. Burnett"
"1","Katherine Gunny","accounting","0000-0002-5256-0961","Katherine Gunny"
"1","Xiao Li","accounting","0000-0003-4648-4859","Xiao Li"
"1","Christian Hilpert","finance","0000-0003-3015-0440","Christian Hilpert"
"1","Stefan Hirth","finance","0000-0001-5477-0842","Stefan Hirth"
"1","Alexander Szimayer","finance","0000-0001-8182-0905","Alexander Szimayer"
"1","Yuexin Li","finance","0000-0001-8522-553X","Yuexin Li"
"1","Xiaoyin Ma","finance","","Xiaoyin Ma"
"1","Matthias D. Mahlendorf","accounting","0000-0002-9674-472X","Matthias D. Mahlendorf"
"1","Utz Schäffer","accounting","0000-0002-1837-1753","Utz Schäffer"
"1","Paul Irvine","finance","0000-0002-8319-7181","Paul Irvine"
"1","Jeong Ho (John) Kim","finance","0000-0001-7114-5440","Jeong Ho (John) Kim"
"1","Jue Ren","finance","0000-0002-0125-9976","Jue Ren"
"1","Haitao Mo","finance","","Haitao Mo"
"1","Chen Xue","finance","","Chen Xue"
"1","Lu Zhang","finance","0000-0003-4492-9148","Lu Zhang"
"1","Yesol Huh","finance","","Yesol Huh"
"1","Fotis Grigoris","finance","0000-0001-5177-1620","Fotis Grigoris"
"1","Gill Segal","finance","0000-0001-5437-9886","Gill Segal"
"1","Ohad Kadan","finance","0000-0002-8464-4780","Ohad Kadan"
"1","Fang Liu","finance","","Fang Liu"
"1","Jason Victor Chen","accounting","0000-0002-1310-1623","Jason Victor Chen"
"1","Feng Li","accounting","0000-0003-0877-963X","Feng Li"
"1","Xiaorong Ma","accounting","","Xiaorong Ma"
"1","Michael Fleming","finance","0000-0003-4347-7223","Michael Fleming"
"1","Francisco Ruela","finance","0000-0003-1412-3952","Francisco Ruela"
"1","Haotian Xiang","finance","0000-0002-1995-4862","Haotian Xiang"
"1","Axel Buchner","finance","0000-0002-1544-7863","Axel Buchner"
"1","Susanne Espenlaub","finance","0000-0003-1020-9820","Susanne Espenlaub"
"1","Arif Khurshed","finance","0000-0001-8407-0943","Arif Khurshed"
"1","Abdulkadir Mohamed","finance","0000-0002-2974-9467","Abdulkadir Mohamed"
"1","Siddhartha Chib","finance","","Siddhartha Chib"
"1","Lingxiao Zhao","finance","0000-0002-8016-072X","Lingxiao Zhao"
"1","Erik Christian Montes Schütte","finance","0000-0001-7662-9460","Erik Christian Montes Schütte"
"1","Xia Chen","accounting","","Xia Chen"
"1","Qiang Cheng","accounting","0000-0001-5905-1740","Qiang Cheng"
"1","Ting Luo","accounting","0000-0002-8648-2578","Ting Luo"
"1","Stefanie Brilon","behavioral economics and decision analysis","0000-0001-6154-6865","Stefanie Brilon"
"1","Simona Grassi","behavioral economics and decision analysis","0000-0001-7487-0509","Simona Grassi"
"1","Manuel Grieder","behavioral economics and decision analysis","0000-0003-4694-7390","Manuel Grieder"
"1","Jonathan F. Schulz","behavioral economics and decision analysis","0000-0001-5341-3819","Jonathan F. Schulz"
"1","Lucas Mahieux","accounting","0000-0003-3660-3869","Lucas Mahieux"
"1","Alina Ferecatu","behavioral economics and decision analysis","0000-0003-0161-0487","Alina Ferecatu"
"1","Hae Won (Henny) Jung","finance","0000-0002-7268-7505","Hae Won (Henny) Jung"
"1","Qi Zeng","finance","0000-0003-1228-0794","Qi Zeng"
"1","Frederik Schwerter","behavioral economics and decision analysis","0000-0003-1178-7227","Frederik Schwerter"
"1","Nicholas P. Danks","information systems","0000-0001-6902-2708","Nicholas P. Danks"
"1","Soumya Ray","information systems","0000-0002-7497-3281","Soumya Ray"
"1","Lucia Naldi","organizations","0000-0003-0691-2740","Lucia Naldi"
"1","Timur Uman","organizations","0000-0002-8938-2150","Timur Uman"
"1","Chunhua Lan","finance","0000-0002-0709-4068","Chunhua Lan"
"1","Luyang Chen","finance","","Luyang Chen"
"1","Jason Zhu","finance","","Jason Zhu"
"1","Amir Rubin","accounting","0000-0001-9093-2511","Amir Rubin"
"1","Alexander Vedrashko","accounting","","Alexander Vedrashko"
"1","Angelo D’Andrea","finance","0000-0002-1270-9012","Angelo D’Andrea"
"1","Nicola Limodio","finance","0000-0001-6393-065X","Nicola Limodio"
"1","Hyuck David Chung","business strategy","0000-0002-9021-2706","Hyuck David Chung"
"1","Yue Maggie Zhou","business strategy","0000-0003-4632-6084","Yue Maggie Zhou"
"1","Kelvin Yeung","finance","0000-0001-6430-7085","Kelvin Yeung"
"1","Hae Mi Choi","finance","","Hae Mi Choi"
"1","Xiaoxia Lou","finance","","Xiaoxia Lou"
"1","Gerald S. Martin","finance","","Gerald S. Martin"
"1","Shohini Kundu","finance","0000-0002-3877-1877","Shohini Kundu"
"1","Andrew Ellul","finance","0000-0003-0552-4420","Andrew Ellul"
"1","Cong Wang","finance","0000-0003-2063-0299","Cong Wang"
"1","Kuo Zhang","finance","0000-0003-2632-2289","Kuo Zhang"
